1,609939.7174
2,387215.3203
3,305798.9645
4,276736.6408
5,259013.6448
6,246863.159
7,238571.0809
8,230884.6723
9,228495.437
10,225821.924
11,221182.2355
12,216808.0857
13,215086.1477
14,214026.3421
15,208504.7205
16,203872.8162
17,200002.6433
18,195629.2808
19,192559.5603
20,192094.8678
21,190868.9737
22,188546.0619
23,186922.2748
24,186055.0666
25,185573.2432
26,185259.0485
27,185008.1714
28,184807.3583
29,184628.1586
30,184484.1841
31,184372.3186
32,184298.4145
33,184236.2503
34,184180.5591
35,184135.266
36,184101.3893
37,184076.2434
38,184056.3174
39,184037.2009
40,184016.9682
41,183994.6875
42,183973.3751
43,183955.0178
44,183941.2279
45,183928.704
46,183917.1464
47,183906.4869
48,183896.9992
49,183887.8759
50,183878.6031
51,183869.2126
52,183860.0642
53,183851.4537
54,183843.5899
55,183835.5941
56,183828.1226
57,183821.8073
58,183815.7953
59,183810.7378
60,183806.2798
61,183802.2687
62,183798.4168
63,183794.0229
64,183789.9332
65,183786.1515
66,183782.521
67,183778.7406
68,183774.1829
69,183769.0726
70,183764.0298
71,183758.7868
72,183753.9576
73,183750.1984
74,183747.5148
75,183745.1097
76,183743.0051
77,183741.0772
78,183739.251
79,183737.5562
80,183735.6336
81,183733.7306
82,183732.1546
83,183730.8455
84,183729.8297
85,183728.8364
86,183727.9234
87,183727.0632
88,183726.2849
89,183725.6255
90,183724.9835
91,183724.365
92,183723.7713
93,183723.1089
94,183722.4271
95,183721.7782
96,183721.1123
97,183720.3347
98,183719.3619
99,183718.197
100,183716.937
101,183715.5663
102,183714.1774
103,183712.9106
104,183711.7335
105,183710.6725
106,183709.5703
107,183708.4822
108,183707.3634
109,183706.295
110,183705.183
111,183704.1504
112,183703.2407
113,183702.4101
114,183701.6239
115,183700.7592
116,183699.8581
117,183699.0379
118,183698.2247
119,183697.589
120,183697.0903
121,183696.6813
122,183696.3287
123,183696.0287
124,183695.725
125,183695.4374
126,183695.1388
127,183694.8435
128,183694.5847
129,183694.3135
130,183694.065
131,183693.7881
132,183693.465
133,183693.1414
134,183692.8193
135,183692.5041
136,183692.2099
137,183691.9215
138,183691.6595
139,183691.427
140,183691.2043
141,183690.995
142,183690.7858
143,183690.5679
144,183690.3609
145,183690.161
146,183689.9598
147,183689.7527
148,183689.5166
149,183689.3048
150,183689.0867
151,183688.8734
152,183688.6853
153,183688.5272
